Trigger Date,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
YESBANK results,,,,,,
02-12-2019 13:15,NSE_YESBANK,SELL,-10,64.8,0,EN
02-12-2019 13:30,NSE_YESBANK,BUY,10,65.7,-9,SL
02-12-2019 13:45,NSE_YESBANK,SELL,-10,64.65,-9,EN
02-12-2019 14:30,NSE_YESBANK,BUY,10,64.95,-12,EX
02-12-2019 14:45,NSE_YESBANK,SELL,-10,64.35,-12,EN
02-12-2019 15:15,NSE_YESBANK,BUY,10,63.9,-7.5,SO
03-12-2019 09:30,NSE_YESBANK,SELL,-10,63.15,-7.5,EN
03-12-2019 12:30,NSE_YESBANK,BUY,10,60.9,15,EX
03-12-2019 13:15,NSE_YESBANK,SELL,-10,60.9,15,EN
03-12-2019 13:45,NSE_YESBANK,BUY,10,60.95,14.5,EX
03-12-2019 14:00,NSE_YESBANK,SELL,-10,60.5,14.5,EN
03-12-2019 15:15,NSE_YESBANK,BUY,10,59.75,22,SO
04-12-2019 09:15,NSE_YESBANK,SELL,-10,57.95,22,EN
04-12-2019 09:30,NSE_YESBANK,BUY,10,58.76,13.9,SL
05-12-2019 10:30,NSE_YESBANK,SELL,-10,61.9,13.9,EN
05-12-2019 12:45,NSE_YESBANK,BUY,10,62.76,5.300000001,SL
05-12-2019 14:45,NSE_YESBANK,SELL,-10,61.95,5.300000001,EN
05-12-2019 15:15,NSE_YESBANK,BUY,10,62.15,3.300000001,SO
06-12-2019 09:15,NSE_YESBANK,SELL,-10,59.4,3.300000001,EN
06-12-2019 11:30,NSE_YESBANK,BUY,10,56.43,33,TP
06-12-2019 11:45,NSE_YESBANK,SELL,-10,57.1,33,EN
06-12-2019 12:30,NSE_YESBANK,BUY,10,57.25,31.5,EX
06-12-2019 12:45,NSE_YESBANK,SELL,-10,57.2,31.5,EN
06-12-2019 14:15,NSE_YESBANK,BUY,10,56.7,36.5,EX
06-12-2019 14:30,NSE_YESBANK,SELL,-10,56.6,36.5,EN
06-12-2019 15:15,NSE_YESBANK,BUY,10,56.25,40,SO
09-12-2019 09:15,NSE_YESBANK,SELL,-10,55.95,40,EN
09-12-2019 09:30,NSE_YESBANK,BUY,10,56.73,32.2,SL
09-12-2019 13:15,NSE_YESBANK,SELL,-10,57.15,32.2,EN
09-12-2019 13:30,NSE_YESBANK,BUY,10,57.05,33.2,EX
