Trigger Date,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
BANKBARODA results,,,,,,
14-09-2020 13:15,NSE_BANKBARODA,SELL,-100,46.2,0,EN
14-09-2020 14:00,NSE_BANKBARODA,BUY,100,46.45,-25,EX
14-09-2020 14:30,NSE_BANKBARODA,SELL,-100,46.2,-25,EN
14-09-2020 15:15,NSE_BANKBARODA,BUY,100,46.2,-25,SO
16-09-2020 10:00,NSE_BANKBARODA,SELL,-100,46.35,-25,EN
16-09-2020 13:00,NSE_BANKBARODA,BUY,100,46.4,-30,EX
17-09-2020 09:30,NSE_BANKBARODA,SELL,-100,46.1,-30,EN
17-09-2020 15:15,NSE_BANKBARODA,BUY,100,45.65,15,SO
18-09-2020 14:30,NSE_BANKBARODA,SELL,-100,45.1,15,EN
18-09-2020 15:15,NSE_BANKBARODA,BUY,100,45.1,15,SO
22-09-2020 14:00,NSE_BANKBARODA,SELL,-100,41.95,15,EN
22-09-2020 14:45,NSE_BANKBARODA,BUY,100,42.15,-5,EX
23-09-2020 09:30,NSE_BANKBARODA,SELL,-100,42.15,-5,EN
23-09-2020 14:00,NSE_BANKBARODA,BUY,100,40.89,121,TP
24-09-2020 14:45,NSE_BANKBARODA,SELL,-100,39.95,121,EN
24-09-2020 15:15,NSE_BANKBARODA,BUY,100,39.8,136,SO
29-09-2020 09:30,NSE_BANKBARODA,SELL,-100,42.7,136,EN
29-09-2020 12:30,NSE_BANKBARODA,BUY,100,41.42,264,TP
30-09-2020 11:30,NSE_BANKBARODA,SELL,-100,40.8,264,EN
30-09-2020 13:00,NSE_BANKBARODA,BUY,100,41.05,239,EX
30-09-2020 14:30,NSE_BANKBARODA,SELL,-100,41.05,239,EN
30-09-2020 15:00,NSE_BANKBARODA,BUY,100,41.1,234,EX
01-10-2020 13:00,NSE_BANKBARODA,SELL,-100,41.5,234,EN
01-10-2020 14:15,NSE_BANKBARODA,BUY,100,41.91,193,SL
05-10-2020 12:15,NSE_BANKBARODA,SELL,-100,41.75,193,EN
05-10-2020 15:15,NSE_BANKBARODA,BUY,100,41.6,208,SO
