Trigger Date,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
AXISBANK results,,,,,,
28-07-2020 09:45,NSE_AXISBANK,SELL,-100,426.95,0,EN
28-07-2020 11:00,NSE_AXISBANK,BUY,100,431.5,-455,EX
29-07-2020 11:00,NSE_AXISBANK,SELL,-100,441.3,-455,EN
29-07-2020 11:15,NSE_AXISBANK,BUY,100,442.95,-620,EX
29-07-2020 12:00,NSE_AXISBANK,SELL,-100,444.35,-620,EN
29-07-2020 13:15,NSE_AXISBANK,BUY,100,444.7,-655,EX
29-07-2020 13:30,NSE_AXISBANK,SELL,-100,444.9,-655,EN
29-07-2020 15:15,NSE_AXISBANK,BUY,100,440.65,-230,SO
30-07-2020 11:15,NSE_AXISBANK,SELL,-100,441.35,-230,EN
30-07-2020 14:30,NSE_AXISBANK,BUY,100,428.4,1065,EX
31-07-2020 11:00,NSE_AXISBANK,SELL,-100,425.65,1065,EN
31-07-2020 12:00,NSE_AXISBANK,BUY,100,427.9,840,EX
31-07-2020 14:45,NSE_AXISBANK,SELL,-100,430.25,840,EN
31-07-2020 15:15,NSE_AXISBANK,BUY,100,431.9,675,SO
03-08-2020 09:15,NSE_AXISBANK,SELL,-100,425.6,675,EN
03-08-2020 10:30,NSE_AXISBANK,BUY,100,426.15,620,EX
03-08-2020 10:45,NSE_AXISBANK,SELL,-100,426.5,620,EN
03-08-2020 13:15,NSE_AXISBANK,BUY,100,418.25,1445,EX
03-08-2020 14:45,NSE_AXISBANK,SELL,-100,417.95,1445,EN
03-08-2020 15:15,NSE_AXISBANK,BUY,100,417.2,1520,SO
05-08-2020 11:15,NSE_AXISBANK,SELL,-100,445,1520,EN
05-08-2020 15:15,NSE_AXISBANK,BUY,100,434.35,2585,SO
06-08-2020 11:00,NSE_AXISBANK,SELL,-100,429.85,2585,EN
06-08-2020 11:30,NSE_AXISBANK,BUY,100,430.3,2540,EX
06-08-2020 12:00,NSE_AXISBANK,SELL,-100,430.4,2540,EN
06-08-2020 12:15,NSE_AXISBANK,BUY,100,435.05,2075,EX
06-08-2020 13:45,NSE_AXISBANK,SELL,-100,434.3,2075,EN
06-08-2020 15:15,NSE_AXISBANK,BUY,100,432.9,2215,SO
11-08-2020 11:00,NSE_AXISBANK,SELL,-100,439.1,2215,EN
11-08-2020 11:45,NSE_AXISBANK,BUY,100,440.8,2045,EX
11-08-2020 12:30,NSE_AXISBANK,SELL,-100,440.65,2045,EN
11-08-2020 13:00,NSE_AXISBANK,BUY,100,441.7,1940,EX
11-08-2020 15:00,NSE_AXISBANK,SELL,-100,448.3,1940,EN
11-08-2020 15:15,NSE_AXISBANK,BUY,100,448.3,1940,SO
12-08-2020 09:15,NSE_AXISBANK,SELL,-100,443.2,1940,EN
12-08-2020 11:30,NSE_AXISBANK,BUY,100,445.1,1750,EX
12-08-2020 13:30,NSE_AXISBANK,SELL,-100,448.65,1750,EN
12-08-2020 14:15,NSE_AXISBANK,BUY,100,452.4,1375,EX
13-08-2020 09:30,NSE_AXISBANK,SELL,-100,454.1,1375,EN
13-08-2020 12:45,NSE_AXISBANK,BUY,100,448.25,1960,EX
13-08-2020 14:30,NSE_AXISBANK,SELL,-100,446.9,1960,EN
13-08-2020 15:15,NSE_AXISBANK,BUY,100,447.9,1860,SO
14-08-2020 09:30,NSE_AXISBANK,SELL,-100,446.85,1860,EN
14-08-2020 11:00,NSE_AXISBANK,BUY,100,444,2145,EX
14-08-2020 12:30,NSE_AXISBANK,SELL,-100,443.6,2145,EN
14-08-2020 14:15,NSE_AXISBANK,BUY,100,425.86,3919,TP
17-08-2020 09:45,NSE_AXISBANK,SELL,-100,427,3919,EN
17-08-2020 10:30,NSE_AXISBANK,BUY,100,430.15,3604,EX
17-08-2020 14:00,NSE_AXISBANK,SELL,-100,428.6,3604,EN
17-08-2020 14:30,NSE_AXISBANK,BUY,100,431.55,3309,EX
18-08-2020 11:15,NSE_AXISBANK,SELL,-100,439.55,3309,EN
18-08-2020 11:30,NSE_AXISBANK,BUY,100,439.8,3284,EX
18-08-2020 12:00,NSE_AXISBANK,SELL,-100,439.35,3284,EN
18-08-2020 13:30,NSE_AXISBANK,BUY,100,440.35,3184,EX
19-08-2020 09:45,NSE_AXISBANK,SELL,-100,448.9,3184,EN
19-08-2020 13:15,NSE_AXISBANK,BUY,100,449,3174,EX
19-08-2020 13:30,NSE_AXISBANK,SELL,-100,447.3,3174,EN
19-08-2020 14:00,NSE_AXISBANK,BUY,100,448.85,3019,EX
19-08-2020 14:30,NSE_AXISBANK,SELL,-100,446.4,3019,EN
19-08-2020 15:15,NSE_AXISBANK,BUY,100,443.95,3264,SO
20-08-2020 10:15,NSE_AXISBANK,SELL,-100,438.65,3264,EN
20-08-2020 11:45,NSE_AXISBANK,BUY,100,438.3,3299,EX
20-08-2020 12:15,NSE_AXISBANK,SELL,-100,437.7,3299,EN
20-08-2020 13:15,NSE_AXISBANK,BUY,100,435.6,3509,EX
20-08-2020 14:00,NSE_AXISBANK,SELL,-100,434.75,3509,EN
20-08-2020 14:15,NSE_AXISBANK,BUY,100,435.45,3439,EX
21-08-2020 12:00,NSE_AXISBANK,SELL,-100,438.9,3439,EN
21-08-2020 13:15,NSE_AXISBANK,BUY,100,439,3429,EX
24-08-2020 13:00,NSE_AXISBANK,SELL,-100,446.5,3429,EN
24-08-2020 14:00,NSE_AXISBANK,BUY,100,447.15,3364,EX
24-08-2020 14:45,NSE_AXISBANK,SELL,-100,445.6,3364,EN
24-08-2020 15:15,NSE_AXISBANK,BUY,100,446.05,3319,SO
25-08-2020 10:45,NSE_AXISBANK,SELL,-100,451.5,3319,EN
25-08-2020 11:30,NSE_AXISBANK,BUY,100,452.65,3204,EX
25-08-2020 12:30,NSE_AXISBANK,SELL,-100,454.5,3204,EN
25-08-2020 12:45,NSE_AXISBANK,BUY,100,454.7,3184,EX
25-08-2020 13:00,NSE_AXISBANK,SELL,-100,453.6,3184,EN
25-08-2020 13:30,NSE_AXISBANK,BUY,100,455,3044,EX
25-08-2020 13:45,NSE_AXISBANK,SELL,-100,453.6,3044,EN
25-08-2020 15:15,NSE_AXISBANK,BUY,100,451.6,3244,SO
26-08-2020 11:15,NSE_AXISBANK,SELL,-100,460.4,3244,EN
26-08-2020 11:30,NSE_AXISBANK,BUY,100,460.65,3219,EX
26-08-2020 12:00,NSE_AXISBANK,SELL,-100,459.55,3219,EN
26-08-2020 14:00,NSE_AXISBANK,BUY,100,461.65,3009,EX
27-08-2020 10:15,NSE_AXISBANK,SELL,-100,469.85,3009,EN
27-08-2020 10:30,NSE_AXISBANK,BUY,100,470.8,2914,EX
27-08-2020 11:00,NSE_AXISBANK,SELL,-100,470.6,2914,EN
27-08-2020 11:15,NSE_AXISBANK,BUY,100,472.05,2769,EX
27-08-2020 11:45,NSE_AXISBANK,SELL,-100,471.7,2769,EN
27-08-2020 12:15,NSE_AXISBANK,BUY,100,473.15,2624,EX
27-08-2020 12:30,NSE_AXISBANK,SELL,-100,472.5,2624,EN
27-08-2020 14:45,NSE_AXISBANK,BUY,100,473.05,2569,EX
28-08-2020 10:45,NSE_AXISBANK,SELL,-100,503.05,2569,EN
28-08-2020 12:00,NSE_AXISBANK,BUY,100,506.05,2269,EX
28-08-2020 12:30,NSE_AXISBANK,SELL,-100,505.1,2269,EN
28-08-2020 14:15,NSE_AXISBANK,BUY,100,506.25,2154,EX
31-08-2020 09:30,NSE_AXISBANK,SELL,-100,520.5,2154,EN
31-08-2020 11:30,NSE_AXISBANK,BUY,100,499.68,4236,TP
31-08-2020 14:15,NSE_AXISBANK,SELL,-100,493.75,4236,EN
31-08-2020 15:00,NSE_AXISBANK,BUY,100,498,3811,EX
01-09-2020 10:00,NSE_AXISBANK,SELL,-100,492.3,3811,EN
01-09-2020 11:30,NSE_AXISBANK,BUY,100,485.6,4481,EX
01-09-2020 12:15,NSE_AXISBANK,SELL,-100,485.35,4481,EN
01-09-2020 12:30,NSE_AXISBANK,BUY,100,487.55,4261,EX
01-09-2020 13:45,NSE_AXISBANK,SELL,-100,485.05,4261,EN
01-09-2020 15:15,NSE_AXISBANK,BUY,100,487.5,4016,SO
02-09-2020 12:00,NSE_AXISBANK,SELL,-100,475.6,4016,EN
02-09-2020 13:00,NSE_AXISBANK,BUY,100,475.45,4031,EX
02-09-2020 13:30,NSE_AXISBANK,SELL,-100,473.7,4031,EN
02-09-2020 13:45,NSE_AXISBANK,BUY,100,475.1,3891,EX
03-09-2020 09:30,NSE_AXISBANK,SELL,-100,482.1,3891,EN
03-09-2020 12:45,NSE_AXISBANK,BUY,100,478.5,4251,EX
04-09-2020 10:30,NSE_AXISBANK,SELL,-100,466.15,4251,EN
04-09-2020 12:15,NSE_AXISBANK,BUY,100,466.05,4261,EX
04-09-2020 13:45,NSE_AXISBANK,SELL,-100,467.6,4261,EN
04-09-2020 15:15,NSE_AXISBANK,BUY,100,455.55,5466,SO
07-09-2020 12:00,NSE_AXISBANK,SELL,-100,457.7,5466,EN
07-09-2020 13:45,NSE_AXISBANK,BUY,100,459.6,5276,EX
07-09-2020 14:30,NSE_AXISBANK,SELL,-100,454.4,5276,EN
07-09-2020 15:15,NSE_AXISBANK,BUY,100,461.22,4594,SL
09-09-2020 09:30,NSE_AXISBANK,SELL,-100,438.4,4594,EN
09-09-2020 12:45,NSE_AXISBANK,BUY,100,426.75,5759,EX
09-09-2020 13:00,NSE_AXISBANK,SELL,-100,427.55,5759,EN
09-09-2020 14:30,NSE_AXISBANK,BUY,100,429.5,5564,EX
10-09-2020 09:45,NSE_AXISBANK,SELL,-100,433,5564,EN
10-09-2020 10:30,NSE_AXISBANK,BUY,100,436.95,5169,EX
10-09-2020 12:15,NSE_AXISBANK,SELL,-100,443.05,5169,EN
10-09-2020 14:30,NSE_AXISBANK,BUY,100,445.2,4954,EX
11-09-2020 09:30,NSE_AXISBANK,SELL,-100,444.25,4954,EN
11-09-2020 10:45,NSE_AXISBANK,BUY,100,447.8,4599,EX
14-09-2020 12:00,NSE_AXISBANK,SELL,-100,451.8,4599,EN
14-09-2020 15:00,NSE_AXISBANK,BUY,100,440.9,5689,EX
15-09-2020 10:45,NSE_AXISBANK,SELL,-100,440.4,5689,EN
15-09-2020 11:00,NSE_AXISBANK,BUY,100,440.5,5679,EX
15-09-2020 13:00,NSE_AXISBANK,SELL,-100,440.5,5679,EN
15-09-2020 14:00,NSE_AXISBANK,BUY,100,443.25,5404,EX
16-09-2020 09:15,NSE_AXISBANK,SELL,-100,445.25,5404,EN
16-09-2020 12:15,NSE_AXISBANK,BUY,100,441.9,5739,EX
21-09-2020 09:15,NSE_AXISBANK,SELL,-100,440.45,5739,EN
21-09-2020 10:30,NSE_AXISBANK,BUY,100,439.8,5804,EX
21-09-2020 10:45,NSE_AXISBANK,SELL,-100,437.7,5804,EN
21-09-2020 11:45,NSE_AXISBANK,BUY,100,437.8,5794,EX
21-09-2020 12:00,NSE_AXISBANK,SELL,-100,438.1,5794,EN
21-09-2020 12:15,NSE_AXISBANK,BUY,100,438.1,5794,EX
21-09-2020 12:30,NSE_AXISBANK,SELL,-100,434.95,5794,EN
